subitem,subject,item,transciption
128-14,128,14,the caddy for the (mutters)
128-18,128,18,the table for the antique lamp was wobbly
128-24,128,24,the camera with the special lens took good pictures
128-8,128,8,the fortress near the ancient walls almost collapsed
128-12,128,12,the body guards near the nervous actressss...reassured her
128-15,128,15,"the church with the great driveways….uhh, I don’t know"
128-17,128,17,the waitress for the impatient senior f-quit
128-4,128,4,the coach near the disruptiivvee….something blew up
128-23,128,23,the canoe with the weather oar failed 
128-22,128,22,the trainer for the confident boxer...was happpy
128-6,128,6,the dam by the musty factory..uhhh blocked water
128-9,128,9,the butler near the selfish millionaires...was mad
128-19,128,19,the resort with the englomeer…people whatever
128-5,128,5,the tent near the sturdy…something
128-1,128,1,the envelope by the photo albums were used
128-21,128,21,the guitar with the faulty string was fixed
128-16,128,16,the eraser for the novelty pen was bad
128-20,128,20,the hydrant with the bent hoses were in use
128-3,128,3,the hammer by the rigid pegs were used as a tool
128-2,128,2,the cake by the candy figurines was good
128-7,128,7,the necklace near the colorful diamonds was beautiful
128-13,128,13,the bicycle with the warped baskets are hers
128-11,128,11,the banana near the popular sundae was good
129-10,129,10,the vase near the vibrant flowers shined
129-24,129,24,the camera with the special lenses worked
129-6,129,6,the dam by the musty factory smelled
129-5,129,5,the tent near the sturdy cushions were comfy
129-18,129,18,the table with the antique lamps was expensive
129-22,129,22,the trainer with the confident boxers was buff
129-2,129,2,the cake with the colored candles smelled good
129-9,129,9,the butler near the spoiled kid was annoyed
129-14,129,14,the caddy near the charismic…guy…I don’t know
129-3,129,3,the hammer for the rusty nail was hit
129-13,129,13,the bicycle by the warped tire f-was flat
129-7,129,7,the necklace near the colorful fa-feather was pretty
129-23,129,23,the canoe with the feathered oars r-floated
129-19,129,19,the resort with the elaborate fountains was nice
129-8,129,8,the fortress near the ancient farm…whaaat (laughs) okay
129-21,129,21,the guitar with the f-faulty pedal didn't work
129-4,129,4,the coach near the distruptive (sic) teenagers was sad
129-11,129,11,the banana near the popular sundaes tasted yummy
129-20,129,20,the hydrant with the bright reflector was red
129-16,129,16,the eraser with the novelty pens was purple
129-15,129,15,the church near the giant cross was...well decorated
129-12,129,12,the bodyguard near the nervous actress protected her
129-1,129,1,the envelope for the formal letter was licked
129-17,129,17,the waitress for the impatient seniors was unhappy
130-11,130,11,the banana near the popular sandwich place
130-24,130,24,camera with the special manual lens
130-18,130,18,the table by the antique chair was old
130-16,130,16,the eraser near the novelty pencil was nice
130-19,130,19,the resort with the elevator gardens was great
130-23,130,23,the canoe with the weathered flag was f-slowing
130-7,130,7,the necklace near the colorful feathers was stolen
130-9,130,9,the butler near the spoiled kids wanted to quit
130-6,130,6,the dam for the murky river was broken
130-8,130,8,the fortress near the ancient farms is breaking down
130-4,130,4,the coach for the disciplined athlete quit
130-10,130,10,the vase near the vibrant cover broke
130-14,130,14,the caddy near the charismatic golfers was...gold
130-5,130,5,the tent with the sturdy pole broke
130-22,130,22,the trainer for the confident actor was helpful
130-20,130,20,the hydrant with the bright reflectors broke down
130-2,130,2,the cake with the colored candles was cut
130-3,130,3,the hammer for the rusty nails was old
130-15,130,15,the church near the g-giant crosses is very old
130-1,130,1,the envelope for the formal letters was sent
130-17,130,17,the waitress by the impatient diner stood
130-13,130,13,the bicycle by the warped tires was broken
130-21,130,21,the guitar with the faulty pedals played through the night
130-12,130,12,the bodyguard near the nervous chedders was sleepy
131-22,131,22,the trainer for the confident actors was funny
131-21,131,21,the guitar near the faulty string fell off I don't know
131-4,131,4,the coach for the disciplined athletes was tough
131-14,131,14,the caddy near the charismic(sic) celebrity was funny (whispers) I don't know
131-9,131,9,the butler for the selfish millionaire stole his money
131-2,131,2,the cake with the candy figurine was for the wedding
131-3,131,3,the hammer for the rigid peg was brown
131-6,131,6,the dam for the murky rivers collapsed
131-19,131,19,the resort near the elongated pool was dirty
131-18,131,18,table by the antique chairs was brown
131-12,131,12,the bodyguard near the nervous jewelers was on high alert
131-16,131,16,the eraser near the novelty pencils was purple (laughs)
131-1,131,1,the envelope for the photo album was on the stairs
131-17,131,17,the waitress by the impatient diners was wanted to go home
131-13,131,13,the bicycle by the warped basket was red
131-11,131,11,the banana near the popular sandwich was-was yellow
131-7,131,7,the necklace with the colorful diamond was shiny
131-15,131,15,the church near the giant driveway was elegant
131-8,131,8,the fortress with the ancient wall was crumbling
131-10,131,10,the vase near the vibrant covers broke
131-5,131,5,the tent with the sturdy poles fell over
131-20,131,20,the hydrant near the ven house started leaking
131-23,131,23,the canoe with the weathered flags sunk
131-24,131,24,the camera with the special manuals was complicated
132-4,132,4,the coach for the disruptive teenager fell
132-21,132,21,the guitar near the facu-faulty strings...x (dialogue with experimenter)
132-12,132,12,the bodyguard for the nervous actress was very strong
132-16,132,16,the eraser near the novelty pen fell on the floor
132-22,132,22,the trainer near the confident boxer was excited
132-18,132,18,the table by the antique lamp wuh (sic) antique as well
132-6,132,6,the dam for the musty factory broke
132-19,132,19,the resort near the along-elongated pools cost a fortune
132-14,132,14,the caddy near the charismatic celebrities said hello
132-2,132,2,the cake with candy figurines was delicious to eat
132-20,132,20,the hydrant near the bent houses was red
132-15,132,15,the church near the giant driveways chimed its bells loudly
132-8,132,8,the fortress with the ancient walls was very old
132-24,132,24,the camera by the special lans-lens broke
132-13,132,13,the bicycle by the warped baskets was rideable
132-17,132,17,the waittress by the impatient senior got a very large tip
132-5,132,5,the tent with the sturdy cushion was comfortable to sleep in
132-11,132,11,the banana was the popular sundae for the day
132-7,132,7,the necklace with the colorful diamonds was expensive
132-9,132,9,the butler for the selfish miliionaires hoped he would make lots of money
132-10,132,10,the vase with the vibrant flower shattered
132-1,132,1,the envelope for the photo albums was gray
132-23,132,23,the canoe near the weathered oar was old
132-3,132,3,the hammer for the rigid pegs was made of metal
133-15,133,15,the church with the giant cross broke
133-6,133,6,the dam for the musty factories broke
133-11,133,11,the banana for popular sundaes were poisonous
133-8,133,8,the forttress with the ancient farm broke
133-7,133,7,the necklace with the color-colorful feather broke
133-3,133,3,the hammer by the rusty nail broke
133-2,133,2,the cake by the colored candle was eaten
133-13,133,13,the bicycle with the warped tire broke
133-18,133,18,the table by the antique lamps broke
133-17,133,17,the waittress by the impatient seniors was annoyed
133-22,133,22,the trainer near the confident boxers was intimidating
133-10,133,10,the vase with the bri-vibrant flowers broke
133-14,133,14,the caddy for the charismatic golfer broke
133-1,133,1,the envelope by the uh table broke
133-5,133,5,the tent with the sturdy cushions broke
133-19,133,19,the resort near the elaborate garden was beautiful
133-23,133,23,the canoe near the weathered oars broke
133-9,133,9,the butler for the spoiled kid wanted to kill him
133-16,133,16,the eraser near the novelty pens were useless
133-24,133,24,the camera by the special lenses malfunctioned
133-12,133,12,the bodyguard for the nervous actress killed her
133-4,133,4,the coach for the disruptive teenagers killed them
133-20,133,20,the hydrant near the bright reflector exploded
133-21,133,21,the guitar near the faculty pedal was broken
134-9,134,9,…X
134-24,134,24,the camera by...x
134-2,134,2,the cake by the colored...x
134-14,134,14,the caddy for the...x
134-20,134,20,the hydrant near the bright reflectors was red
134-7,134,7,the necklace with the colorful feathers was ugly
134-23,134,23,the canoe near the weathered flag was... blue
134-10,134,10,the vase with the vibrant cover had flowers
134-18,134,18,the table for the antique chair matched perfectly
134-11,134,11,the banana for the popular sandwich was rotted
134-1,134,1,the envelope by the formal let...x
134-13,134,13,the bicycle with the warped tires didn't work
134-16,134,16,the eraser for the novelty pencil broke off
134-19,134,19,the resort near the elaborate gardens was popular
134-5,134,5,the tent near the tsurdy pole didn't collapse
134-21,134,21,the guitar near the faulty pedals broke
134-4,134,4,the coach near the disci-disciplined athlete was praised
134-6,134,6,the dam by the murky river collapsed
134-12,134,12,the bodyguard for the...x
134-22,134,22,the trainer near the confident actor was... Rude
134-3,134,3,the hammer by the rusty nails was useless
134-17,134,17,the waitress for the impatient diner was annoyed
134-15,134,15,the church with the giant crosses was popular
134-8,134,8,the fortress with the ancient farms was pretty
135-14,135,14,The caddy for the charismatic celebrity ran away
135-23,135,23,the canoe near the weathered flags is old
135-6,135,6,the dam by the murky rivers is brown
135-10,135,10,the vase with the vibrant covers is filled with flowers
135-19,135,19,the resort with the elongated pool is filled with people
135-3,135,3,the hammer by the rigid peg is broken
135-18,135,18,the table for the antique chairs is old
135-4,135,4,the coach near the disciplined athletes yelled
135-24,135,24,the camera by the special manuals is long
135-21,135,21,the guitar with the faulty string can't play correctly
135-16,135,16,the eraser for the novelty pencils are pretty
135-2,135,2,the cake by the candy figurine is disgusting
135-17,135,17,the waitress for the impatient diners spit in their food
135-7,135,7,the necklace near the colorful diamond is gold
135-8,135,8,the fortress near the ancient wall is aged
135-22,135,22,the trainer near the confident ktrees (sic) is fpast (sic)
135-20,135,20,the hydrant with the bent hose is not working
135-11,135,11,banana for popular sandwiches is gross
135-5,135,5,the tent near the sturdy poles is filled with people
135-13,135,13,the bicycle with the warped basket is used by the small child
135-15,135,15,the church with the gaint driveway is always filled
135-1,135,1,the envelope by the photo album needs to be mailed
135-9,135,9,the butler near the selfish millionaire killed him
135-12,135,12,the bodyguard for the nervous jewelers is f-scared
136-1,136,1,the envelope by the photo albums is full of other photos
136-18,136,18,the table for the antique lamp was brown
136-9,136,9,the butler near the selfish millionaires was not a milionaire
136-15,136,15,the church with the giant driveways was really pretty
136-7,136,7,the necklace near the colorful diamonds was full of diamonds
136-11,136,11,the banana near the popular sssurface was yellow
136-22,136,22,the trainer for the confident boxer used to be a boxer
136-21,136,21,the guitar with the faulty strings was a bad guitar
136-20,136,20,the hydrant with the bent hoses was broken
136-10,136,10,the vase near the vibrant flower was very colorful
136-5,136,5,the tent near the sturdy cushion was very strong
136-23,136,23,the canoe with the weathered oar was purple
136-13,136,13,the bicycle with the warped baskets were very pretty
136-6,136,6,the dam by the musty factory was polluted
136-2,136,2,the cake by the candy figurines was pink
136-12,136,12,the bodyguard near the nervous actress was strong
136-17,136,17,the w-waitress the impatient senior was tapping her foot
136-19,136,19,the resort with the elongated pools was beautiful
136-24,136,24,the camera with the special lens was really expensive
136-4,136,4,the coach near the disruptive teenager was angered by the teenager
136-3,136,3,the hammer by the rigid pegs was brown
136-16,136,16,the eraser for the novelty pen was b-green
136-8,136,8,the fortress near the ancient walls waaas beautiful
136-14,136,14,the caddy for the charismatic cel-celebrities was pink
137-1,137,1,the envelope for the formal letter was wrinkled
137-18,137,18,the table for the antique lamps was crooked
137-7,137,7,the necklace near the colorful feather was shiny
137-9,137,9,the butler near the spoiled kid held his knife
137-3,137,3,the hammer for the rusty nail was also rusty
137-19,137,19,the resort with the elaborate garden was beautiful
137-22,137,22,the trainer for the confident boxers was confident…oh my god
137-12,137,12,the bodyguard near the nervous actresses were folding his arms
137-16,137,16,the eraser for the novely (sic) pens was almost gone
137-8,137,8,the fortress near the ancient farm was really big
137-21,137,21,the guitar with the faculty petal was interesting
137-23,137,23,the canoe with the weathered oars was beautiful
137-10,137,10,the vase near the vibrant flowers was cracked
137-24,137,24,the camera with the special lenses cost two-hundred dollars
137-11,137,11,the banana near the popular sundaes was almost rotten
137-6,137,6,the dam by the musty facories (sic) was about to break
137-14,137,14,the candy near the charismatic taylor was yummy
137-4,137,4,the coach near the ditsruptive (sic) teenagers was angry
137-13,137,13,the bicycle by the warped tire was really old
137-17,137,17,the waitress for the impaechent (sic) seniors was really young
137-2,137,2,the cake with the colored candle was f-high in fat
137-20,137,20,the hydrant with the bright reflector was yellow
137-15,137,15,the church near the giant cross had a giant chapel
137-5,137,5,the tent near the study (sic) cushoins was falling down
138-17,138,17,the waitress by the impatient…um…person…ta-took his order
138-22,138,22,the trainer has finished training
138-21,138,21,the guitar with the faulty parts made a horrible noise
138-16,138,16,the eraser near….the blackboard was used
138-4,138,4,the coach for the football team was angry
138-9,138,9,the butler near the spoiled kids wer-was paid a lot
138-13,138,13,the bicycle by thee…tree was gone
138-19,138,19,the resort was beautiful
138-10,138,10,the vase near theee…. desk was broken
138-7,138,7,the necklace near the...colorful…door was hung up
138-2,138,2,the cake with the colorful candles was eaten
138-3,138,3,the hammer from the ruuustyy….ha-hall…was used
138-20,138,20,the hydrant…was broken
138-6,138,6,the dam for the mm-mm (laughs)
138-14,138,14,the caddy near d- (laughs)
138-11,138,11,the banana near the po-pular site was eaten
138-24,138,24,the camera with the special...name is finally out
138-15,138,15,the church near the gi-the giant coss is big
138-8,138,8,the fff the fortresss 
138-18,138,18,the table by the antique chair was also antique
138-23,138,23,the canoe was found in the lake 
138-1,138,1,the envelope for the fffformal letters was sent
138-12,138,12,the bodyguard….
138-5,138,5,the tent with t-t
139-18,139,18,the table by the antique chairs...is...old… I don’t know
139-14,139,14,the caddy near the charismatic celebrity was pretty
139-13,139,13,the bicycle by the warped basket was red
139-12,139,12,the bodyguard near the nervous jets-I don’t know
139-17,139,17,the waitress by the..oh..x
139-9,139,9,the butler for selfish millionaire was greedy
139-16,139,16,the eraser near the novelty pencils umm were broken
139-3,139,3,the hammer for the rigid peg fell
139-20,139,20,the hydrant near the bent hose exploded
139-6,139,6,the dam for the murky rivers was blocked
139-2,139,2,the cake with the candy figurine was very good
139-1,139,1,the envelope for the photo album broke
139-5,139,5,the tent with the sturdy poles fell
139-15,139,15,the church near the giant driveway shut down
139-22,139,22,the trainer for the confident actors quit his job
139-8,139,8,the fortress with the ancient wall fell
139-11,139,11,the banana near the popular sandwiches was old
139-24,139,24,the camera with the special manuals didn't make sense
139-21,139,21,the guitar near the faculty string was sold
139-23,139,23,the canoe with the weathered flags…um sailed down the... River
139-7,139,7,the necklace with the colorful diamond was stolen
139-4,139,4,the coach for the dis-disciplines athletes was strict
139-19,139,19,the reosort near the elongated pool is so expensive
139-10,139,10,the vase near the vibrant covers matches the covers
140-9,140,9,…X
140-13,140,13,the bicycles by the wrapped (sic) baskets...were made of wood… I don’t know
140-10,140,10,the vase with the vibrant flowers were... Amazing (laughs)
140-2,140,2,the cake with the candy fffigurines were red
140-4,140,4,the coach for the dereps disruptik teenager was drunk
140-7,140,7,the necklace with the colorful….pass
140-14,140,14,the candy near the kr-kurrismatic celebrity was chocolate
140-19,140,19,the re- the resort that ugh pass
140-17,140,17,the waitress by the ooh pass
140-21,140,21,the guitar near...the faulty setting pass
140-6,140,6,…X
140-1,140,1,the envelope uh for the photo albums were laminated
140-18,140,18,the table by the antique lamp was broken
140-24,140,24,the camera by the special...lanes (sic) pass
140-8,140,8,(whispers) the fortress -the forsh- the fortress with ancient walls…umm...the fortress with ancient walls...finally collapsed
140-23,140,23,the canoe near the pass
140-16,140,16,the eraser near the novelty pen is mine
140-11,140,11,the banana for the popellar (sic) pass
140-3,140,3,the hammer for the rigid pa-ges were pass
140-5,140,5,the tent with the sturdy cush-pass
140-22,140,22,the trainer near the confident boxer used to be famous
140-20,140,20,the hydrant near the bent house (sic) was black
140-12,140,12,the bwo-pass
140-15,140,15,the church near the giant driveway is...orange
141-1,141,1,The envelope by the formal letter was written by sam
141-10,141,10,the vase with the vibrant flowers was smell nice
141-24,141,24,the camera by the special lenses was expensive
141-4,141,4,the coach for the disruptive teenagers beat them up
141-6,141,6,the dam for the musty factories broke
141-21,141,21,the guitar near the faculty pedal was-sounded cool
141-19,141,19,the resort near the elaborate garden was full of flowers
141-11,141,11,the banana for the popular sundaes was rotten
141-12,141,12,the bodyguard for the nervous actress didn't wanna get stabbed
141-3,141,3,the hammer by the rusty nail was a good source of tetenis
141-20,141,20,the hydrant near the bright reflector started spitting out water
141-23,141,23,the canoe near the weathered oars was floating away cause it wasn't tied down
141-17,141,17,the waittress with the impatient something
141-2,141,2,the cake by the colored candle was icecream cake
141-22,141,22,the trainer near the confident boxers was happy with what he taught them
141-5,141,5,the tent with the sturdy cushions was the one that didn't get attacked by the bear
141-9,141,9,the butler for the spoiled kid was so annoyed that he murdered him
141-14,141,14,the caddy for the charismic (sic) golfer-charismatic golfer um carried his clubs
141-18,141,18,the table by the antique lamps shattered when someone fell on it
141-7,141,7,the necklace with the colorful feather broke
141-8,141,8,the fortress with the ancient something...x
141-16,141,16,the eraser near the novelty fe-pens fell off the desk
141-13,141,13,bicycle with the warped tire was ridden by someone and then they crashed
141-15,141,15,the church with the giant cross caught on fire
142-9,142,9,the butler was to spoil the ki-...x
142-15,142,15,the church with the giant crosses meant that it was christian
142-22,142,22,the trainer near the confident actor was very nervous 
142-10,142,10,the vase with the vibrant cover was the main attraction
142-12,142,12,the bodyguard for the nervous jewler made sure he was very safe
142-20,142,20,the hydrant near the highest reflector was tall
142-17,142,17,the waittress for the impatiemt driver...x
142-18,142,18,the table for the antique chair was very suiting
142-4,142,4,the coach near the dicipleen (sic)-the discipline athlete was very strict
142-14,142,14,the caddy for the charismatic golfers was very shy
142-13,142,13,the bicyle with the warped tires was no good to the family
142-5,142,5,the tent near the sturdy pole caught fire
142-3,142,3,the hammer...x
142-7,142,7,the necklace with the colorful feathers suited her dress
142-11,142,11,the banana for the popular...x
142-23,142,23,the canoe near the weathered flag soon turned over
142-21,142,21,the guitar near the faulty pedals was also faulty
142-2,142,2,the cake by the colored candles was the gift to the boy
142-8,142,8,the fortress with the ancient farms was old
142-16,142,16,the -raser (sic) for the novelty pencil seemed to be an attraction
142-1,142,1,the envelope by the formal letters were a message to him
142-19,142,19,the resort near the elaborate gardens was very beautiful
142-6,142,6,the dam by the murky river had turned out to be dirty
142-24,142,24,the camera by the special manual... took care of it
143-15,143,15,the church with the giant driveway were packed with cars
143-14,143,14,the caddy near the charismitic...x
143-3,143,3,the hammer by the rigid preg...x
143-16,143,16,the eraser for the novety-novelty pencils was funny
143-19,143,19,the resort with the elongated pools was expensive
143-12,143,12,the bodygaud(sic) for the nervous j-jewelers were tough
143-1,143,1,the evelope by the photo album was empty
143-24,143,24,the camera by the special manuals was expensive
143-22,143,22,the trainer near the confident actors was arrogant
143-10,143,10,the vase with the vibrant covers was pretty
143-4,143,4,the couch near her disciplined athletes was dilapidated
143-21,143,21,the guitar with the faulty string was broken
143-23,143,23,the canoe near the wetland flags was old
143-8,143,8,the fortress near the ancient wall was crumbling
143-11,143,11,the banana for the popular sandwiches was delicious
143-9,143,9,the butler near the selfish millionaire spilt water on him
143-2,143,2,the cake by the candy figurine looks delicious
143-6,143,6,the dam by the murky rivers was huge
143-5,143,5,the tent near the sturdy poles was tiny
143-7,143,7,the necklace near the colorful diamond sparkled
143-13,143,13,the bicycle with the wrapped basket had presents
143-18,143,18,the table for the antique chairs was antique
143-20,143,20,the hydrant with the bent hose didn't work properly
143-17,143,17,the waittress for the impatient diners was getting annoyed
144-8,144,8,the fortress with the ancient walls broke
144-4,144,4,the coach for the tisruptive (sic) teenager was really annoyed
144-15,144,15,the church near the giant driveways was full of people
144-7,144,7,the necklace with the colorful diamonds was really expensive
144-21,144,21,the guitar near the faulty ss-trings w-was annoying
144-2,144,2,the cake with candy figurines was a big hit
144-1,144,1,the envelope for the photo albums was torn on the corner
144-23,144,23,the canoe near the weathered oar was cracked
144-17,144,17,the waitress by the impatient senior was losing her patience as well
144-24,144,24,the camera by the special lens was very expensive
144-12,144,12,the bodyguard for the nervous actress was very muscular
144-22,144,22,the trainer near the confident boxer had no reason to be there
144-3,144,3,the hammer for the rigid pegs was not sturdy enough
144-5,144,5,the tent with the sturdy cusion was very comfortable 
144-16,144,16,the eraser near the novelty pen was worth a dollar
144-20,144,20,the hydrant near the bent hoses was broken
144-14,144,14,the caddy near the charismatic celebrities checked his watch
144-11,144,11,the banana for the popular sundae is tastes bad
144-6,144,6,the dam for the musty factory was wearing down
144-10,144,10,the vase with the vibrant flower went missing
144-9,144,9,the butler for the selfish millionaires poisoned their food
144-13,144,13,the bycicle by the warped baskets was stolen
144-19,144,19,the resort near the elongated pools was very fancy and exclusive
144-18,144,18,the table by the antique lamp was broken
145-22,145,22,the trainer for the confident boxers was nice
145-24,145,24,the camera with the special lenses could zoom in
145-16,145,16,the eraser from the novelty pens was not working well
145-15,145,15,the church near the giant cross was always busy on sunday
145-19,145,19,the resort with the elaborate gardens was pretty
145-5,145,5,the tent near the study-sturdy cushions was very sturdy
145-2,145,2,the cake with the colored candle was for my mother
145-3,145,3,the hammer for the rusty nail was broken
145-13,145,13,the bicycle by the warped tire could not be ridden
145-20,145,20,the hydrant with the bright reflector was easy to see
145-6,145,6,the dam by the musty factories was crowded
145-21,145,21,the guitar with the faulty pedal no longer worked
145-1,145,1,the envelope for the formal letter was written to me
145-8,145,8,the fortress near the ancient farm was very well-known
145-18,145,18,the table for the antique lamps was falling apart
145-4,145,4,the couch near the disruptive teenagers was very comfy
145-23,145,23,the canoe with the weathered oars no longer worked
145-9,145,9,the butler near the spoiled kids gave them everything they wanted
145-14,145,14,the caddy near the golfer was his friend
145-11,145,11,the banana near the popular sundaes was really good
145-12,145,12,the bodyguard near the nervous people shot them 
145-17,145,17,the waitress for the impatient seniors got antsy
145-7,145,7,the necklace near the colorful feather was blue
145-10,145,10,the vase near the vibrant flowers held them
146-5,146,5,the tent with the sturdy pole fell down
146-19,146,19,the resort with the elaborate gardens was beautiful
146-16,146,16,the eraser near the novelty pencil was good
146-8,146,8,the fortress near the ancient farms was torn down
146-6,146,6,the dam for the murky riverrr was sturdy
146-24,146,24,the camera with the special manual was complicated
146-21,146,21,the guitar with the faulty pedals was not fun to use
146-11,146,11,the banana near the popular sandwich was not popular
146-9,146,9,the butler near the spoiled kids didn't like the kids
146-17,146,17,the waitress by the inpatient diner got frustrated
146-7,146,7,the necklace near the colorful feathers was also colorful
146-10,146,10,the vase near the vibrant cover was clear
146-18,146,18,the table by the antique chair was also antique
146-14,146,14,the caddy near the charismatic golfers wanted a big tip
146-4,146,4,the coach for the discipline athlete felt accomplished
146-1,146,1,the envelope for the formal letters was very expensive
146-22,146,22,the trainer for the confident actor was ready for the show
146-2,146,2,the cake with the colored candles was perfect for the birthday
146-15,146,15,the church near the giant crosses was huge
146-12,146,12,the bodyguard near the nervous jeweler... was not scared
146-13,146,13,the bicycle by the warped tires... was rusty
146-3,146,3,the hammer for the rusty nails was new
146-20,146,20,the hydrant with the bright reflectors was perfect so firefighters could see it easily
146-23,146,23,the canoe with the weathered flag was iconic
147-24,147,24,the camera with the special manuals was blue
147-13,147,13,the bicycle by the warped basket got stolen
147-5,147,5,the tent with the sturdy polls fell apart
147-3,147,3,the hammer for the rigid peg fell apart
147-23,147,23,the canoe with the weathered flags was blue
147-2,147,2,the cake with the candy figurine was sold
147-20,147,20,the hydrant near the bent hose was red
147-16,147,16,the eraser near the novelty pencils was pink
147-22,147,22,the trainer for the confident actors told a story
147-15,147,15,the church near the giant driveway was tall
147-19,147,19,the resort near the elongated pool was expensive
147-8,147,8,the fortress with the ancient wall was tall
147-6,147,6,the dam for the murky rivers was brig
147-7,147,7,the necklace with the colorful diamond was fake
147-1,147,1,the envelope for the photo album was given
147-12,147,12,the bodyguard near the nervous jewelers... guarded the jewelry
147-9,147,9,the butler for the selfish millionaire was never paid
147-14,147,14,the caddy near the charismatic celebrity carried his balls
147-4,147,4,coach for the disciplined athletes yelled at them
147-10,147,10,the vase near-with the vibrant colors had a flower in them
147-11,147,11,the banana near the popular sandwiches were gone
147-18,147,18,the table by the antique chairs was sold
147-21,147,21,the guitar near the faculty started…x
147-17,147,17,the waitress by the impatient diners stood patiently
148-2,148,2,the cake with the candy figurines was eaten
148-6,148,6,the dam for the musty factories was habited by beavers
148-17,148,17,the waitress by the impatient senior dropped the plates
148-10,148,10,the vase with the vibrant flower... gleamed(sic) in the sun
148-12,148,12,the bodyguard for the nervous actress screamed
148-1,148,1,the envelope for the photo albums was sealed
148-19,148,19,the resort near the elongated pools was nice
148-18,148,18,the table by the antique lamp was old
148-16,148,16,the eraser near the novelty pen fell apart
148-4,148,4,the coach for the disruptive teenager quit his job
148-8,148,8,the fortress with the ancient walls fell apart
148-24,148,24,the camera by the special lens was expensive
148-22,148,22,the trainer near the confident boxer helped him win the match
148-9,148,9,the butler for the selfish millionaires hated his job
148-15,148,15,the church near the giant driveways was very old
148-3,148,3,the hammer for the rigid pegs …um didn't work
148-14,148,14,the caddy nearly c-charismatic celebrities earned a lot of money
148-13,148,13,the bicycle by the warped baskets was an antique
148-11,148,11,the banana from the popular sundae was good
148-7,148,7,the necklace with the colorful diamonds was expensive
148-20,148,20,the hydrant near the bent hoses sprayed water
148-23,148,23,the canoe with the weather oar did not travel far
148-5,148,5,the tent with the sturdy cushion was warm
148-21,148,21,the guitar near the faculty strings was loud
149-16,149,16,the eraser near the novelty pens was made of rubber
149-11,149,11,the banana for the popular sundaes were rotten
149-18,149,18,the table by the antique lamps was also antique
149-20,149,20,the hydrant near the bright reflector was orange
149-23,149,23,the canoe near the weathered oars was made of wood
149-12,149,12,the bodyguard for the nervous actresses were bald
149-21,149,21,the guitar near the faulty pedal was also made of wood
149-24,149,24,the camera by the special lenses was black
149-17,149,17,the waitress by the impatient seniors was also impatient
149-14,149,14,the caddy for the charismatic golfer had a goatee
149-2,149,2,the cake by the colored candle was colored
149-5,149,5,the tent with the sturdy cushions was comfy
149-22,149,22,the trainer for the confident boxers was also confident
149-15,149,15,the church with the giant cross was in renovation
149-19,149,19,the resort near the elaborate garden was wonderful
149-7,149,7,the necklace with the colorful feather was taken from a bird
149-8,149,8,the fortress with the ancient farm did not grow any crops
149-10,149,10,the vase with the fi-vibrant flowers was gray
149-3,149,3,the hammer by the rusty nail was also rusty
149-13,149,13,the bicycle with the warped tire was broken down
149-6,149,6,the dam for the musty factories was broken
149-9,149,9,the butler for the spoiled kid had a creepy mustache
149-4,149,4,the coach for the disruptive teenagers was a sexual predator
149-1,149,1,the envelope for the formal letter was not a postcard
150-13,150,13,the bicycle with the warped tires…um fell
150-10,150,10,the vase with the vibrant covers looked great
150-4,150,4,the coach near the disciplined athlete screamed at them
150-18,150,18,the table for the antique chair was creative
150-16,150,16,the eraser for the novelty pencil broke
150-5,150,5,the tent near the sturdy pole fell apart
150-24,150,24,the camera by the special manual uh was perfect
150-11,150,11,the banana of the popular sandwich was tasty
150-12,150,12,the bodyguard for the nervous jew-jeweler peed his pants
150-14,150,14,the caddy for the charismatic golfers received tips
150-22,150,22,the trainer for the confident actor couldn't speak
150-20,150,20,the hydrant near the bright reflectors collapsed
150-21,150,21,the guitar near the faulty pedals looked really cool
150-7,150,7,the necklace with the colorful feathers matched melissa
150-19,150,19,the resort near the elaborate gardens looked wonderful
150-2,150,2,the cake by the colored candles look delicious
150-3,150,3,the hammer by the rusty nails were rusty as well
150-8,150,8,the fortress with the ancient farms was far
150-9,150,9,butler for the spoiled kids quit his job
150-15,150,15,the church with the giant crosses is near my house
150-1,150,1,the envelope by the formal letters were from the bank
150-17,150,17,the waitress for the impatient diner quit her job
150-23,150,23,the canoe near the weathered flag came off
150-6,150,6,the dam by the marky(sic) river smelled gross
151-7,151,7,the necklace near the colorful diamond was expensive
151-20,151,20,the hydrant with the bent hose didn't work
151-11,151,11,the banana for the popular sandwiches had peanut butter
151-8,151,8,the fortress near the ancient wall was old
151-9,151,9,the butler near the selfish millionaire was annoyed
151-5,151,5,the tent near the sturdy poles was huge
151-14,151,14,the caddy for the charismatic celebrity was skilled
151-18,151,18,the table for the antique chairs was expensive
151-13,151,13,the bicycle with the warped basket was old
151-3,151,3,the hammer by the rigid peg was uneaten(sic)
151-19,151,19,the resort with the elongated pool was awesome
151-23,151,23,the canoe near the weathered flags was also weathered
151-24,151,24,the camera by the special manuals was also broken
151-2,151,2,the cake by the candy figurine was also tasty
151-1,151,1,the envelope by the photo album was interesting
151-22,151,22,the trainer near the confident actors was training
151-17,151,17,the waitress for the inpatient diners was stressed
151-16,151,16,the eraser for the novelty pencils was purple
151-4,151,4,the coach near the disappointed athletes was angry
151-6,151,6,the dam by the murky rivers was the cause
151-21,151,21,the guitar with the faulty string was unplayable
